"id","name","preferred_genres","preferred_authors","read_books","rated_books","password"
"1","Abrar Faiyaz","Fantasy;Programming","Andrew Hunt;J.K. Rowling","1;2;9","1:5;2:4;9:5",""
"2","Samin","Fantasy;Science Fiction","Frank Herbert;J.R.R. Tolkien","4;6;10","4:4;6:5;10:5",""
"3","Rafi","Fiction","George Orwell;Paulo Coelho","3;8","3:5;8:4",""
"4","Test User","","","7","7:4",""
"5","TestAuthUser","Fantasy","AuthorX","","","pass123"
"6","t","","","1","1:5","ty"
"7","Rakin Morshed","Productivity;Fiction;Business","Cal Newport;Roald Dahl;Edgar Allan Poe;Milan Kundera","7;73;142;153;203;208;214;291;330;384;409;423;446;479;485;493;553;568;589;604;658;774;987","7:4;142:4;203:5;214:3;330:4;384:5;409:3;423:3;446:2;479:4;485:3;493:5;553:4;589:3;604:3;658:5;774:3",""
"8","Tahmid Khan","History;Programming;Science Fiction","Kim Edwards;Howard Zinn;Jostein Gaarder;Richard Russo","1;2;4;9;21;25;28;34;55;61;77;89;118;169;211;321;337;344;473;483;499;557;565;575;598;642;644;649;670;724;886;897;901;921;955;976","1:5;2:3;4:5;9:3;21:4;25:3;28:4;34:5;55:3;77:3;118:2;169:4;211:3;565:2;598:2;642:2;644:5;649:2;670:4;886:3;897:5;921:4;955:4;976:2",""
"9","Sharmeen Hasan","Fiction;Romance;Productivity","Richelle Mead;Maurice Sendak;Ann Patchett;Ayn Rand","7;72;79;83;109;156;220;249;261;335;407;419;440;445;458;463;478;511;550;570;663;704;726;735;743;771;778;824;834;848;890;910;993","7:3;72:4;79:4;83:4;109:5;249:4;407:2;419:4;440:2;458:3;463:3;511:4;550:3;570:4;704:5;771:3;778:2;824:3;834:4;910:3",""
"10","Sadia Hossain","Thriller;Programming;Productivity","Patrick S?skind;Agatha Christie;Alexander McCall Smith;Tana French","1;2;7;9;34;38;42;51;68;224;263;342;343;404;426;480;482;508;585;679;793;982","1:5;2:4;7:4;9:5;34:4;38:5;42:5;51:3;68:3;224:3;263:5;342:3;343:3;404:5;480:4;508:3;679:5;793:4",""
"11","Nusrat Chowdhury","History;Business;Self Help","C.S. Lewis;John Scalzi;Christopher McDougall;Bill Bryson","5;12;44;62;95;138;180;190;214;218;268;278;332;337;358;381;413;455;467;478;483;497;544;589;626;653;684;762;902;907;917;921;924;997","5:2;12:4;44:4;95:3;138:4;190:2;214:4;268:5;278:3;337:2;358:3;381:4;413:4;455:2;467:3;478:2;544:3;589:4;653:2;684:2;907:3;917:2;921:2;924:4;997:3",""
"12","Jawad Hossain","Thriller;Fantasy;Business","Agatha Christie;Alexander McCall Smith;Erik Larson;Gillian Flynn","12;27;38;68;77;199;214;224;343;391;400;404;406;457;480;508;551;569;589;679;709;833;837;863;869;892;916;932;967;982","27:5;38:5;68:3;77:4;199:5;214:2;224:5;343:5;391:3;400:4;406:4;457:3;480:3;508:3;569:4;589:2;679:3;709:3;837:4;916:4;967:5;982:5",""
"13","Tahmid Das","Fantasy;Thriller;Romance","Robert Jordan;J.R.R. Tolkien;Brandon Sanderson;George R.R. Martin","6;27;35;38;46;47;51;68;70;88;89;138;159;178;206;224;265;343;400;404;407;419;480;508;511;535;559;569;600;629;637;679;693;701;813;828;938;967;971;973;982","27:4;38:5;46:3;47:4;51:3;68:5;89:5;138:3;159:2;178:4;206:3;224:4;265:5;343:5;404:3;419:2;480:5;508:5;535:4;559:4;569:5;600:4;629:3;701:2;813:4;938:5;967:4;971:3;973:5;982:4",""
"14","Nabil Nawar","Programming;Business;History","Andrew Hunt;Robert C. Martin;Stanley B. Lippman;Dan Brown","1;2;9;34;37;44;62;118;214;303;321;392;413;463;589;615;649;670;692;762;855;886;912;917;955;990","1:5;2:4;9:4;34:5;44:4;214:2;303:5;392:3;413:3;589:2;615:3;649:4;670:3;762:3;855:2;886:4;912:3;955:4;990:2",""
